"Original Field","Suggested Farmer-Friendly Version (English)","Explanation/Marathi hint"
"Product Information","उत्पादनाची माहिती / Product Info","“उत्पादनाची माहिती” is straightforward"
"Product Category","कोणत्या प्रकारचे उत्पादन? / Type of product?","“कोणत्या प्रकारचे” is familiar"
"Seeds & Plants","बियाणे व झाडे / Seeds and plants","“बियाणे”, “झाडे”, known words"
"Grains, vegetables, fruits, flowers","धान्य, भाज्या, फळे, फुले / Grains, veggies, fruits, flowers","Provide examples for easy selection"
"Farming Tools","शेतीची साधने / Farm tools","Simple, farmer-vocabulary"
"Hand tools, machinery, equipment","हत्यारे, यंत्र, साधने / Tools, machines","“हत्यारे” (tools), “यंत्र” (machines)"
"Fertilizers & Pesticides","खते व कीटकनाशके / Fertilizers & pest controllers","“खते”, “कीटकनाशके”"
"Organic, chemical, bio-fertilizers","सेंद्रिय/रासायनिक/जैविक खते / Organic, chem, bio-manure","Use familiar fertilizer terms"
"Livestock & Poultry","जनावरे व कोंबडीपालन / Animals & poultry","“जनावरे”, “कोंबडीपालन”"
"Cattle, poultry, fish, bees","गाई, कोंबड्या, मासे, मधमाश्या / Cow, chicken, fish, bees","Give local animal names"
"Fresh Produce","ताजे उत्पादन / Fresh harvest","“ताजे उत्पादन”/“पिक”"
"Vegetables, fruits, grains","भाज्या, फळे, धान्य / Vegetables, fruits, grains","Examples given"
"Other Products","इतर उत्पादने / Other farm items","“इतर उत्पादने”: ask for anything else"
"Custom farming products","खास शेतीचे उत्पादन / Special farm items","“खास”, easy to understand"
"Product Name","उत्पादनाचे नाव / Product name","“नाव”: very clear"
"Product Description","उत्पादनाची माहिती सांगा / Describe your item","“सविस्तर सांगा”—ask for a description"
"Pricing & Quantity","किंमत व उपलब्धता / Price & quantity","“किंमत” (cost), “उपलब्धता” (availability)"
"Price per Unit","एक युनिटची किंमत / Price per kg/quintal/litre","Give clear example unit (kg/ton/litre/no.)"
"Unit Type","कोणत्या प्रमाणात? / What unit? (kg/quintal/no./litre)","List units directly"
"Available Quantity","किती उपलब्ध आहे? / How much do you have?","“किती?” is direct"
"Minimum Order Quantity","किमान किती मागवावे लागेल? / Minimum purchase amount","“किमान” (minimum)"
"Quality & Certification","दर्जा व प्रमाणपत्र / Quality & certificate","Use “दर्जा” (quality)"
"Quality Grade","दर्जा / Quality","“A/B/C”, “उत्तम/चांगले/सामान्य”—grade example"
"Organic Certified","सेंद्रिय प्रमाणित आहे का? / Is it organic certified?","“सेंद्रिय प्रमाणित”—yes/no or “होय/नाही”"
"Additional Certifications","अजून काही प्रमाणपत्र? / Any other certificates?","“प्रमाणपत्र”—certificates/simple documents"
